"","BOROUGH","NEIGHBORHOOD","TYPE.OF.HOME","NUMBER.OF.SALES","LOWEST.SALE.PRICE","AVERAGE.SALE.PRICE","MEDIAN.SALE.PRICE","HIGHEST.SALE.PRICE","YEAR","DISTRICT"
"199","Staten Island","HOLLIS HILLS","01 ONE FAMILY HOMES",37,280000,738081,753000,990000,2005,"HOLLIS HILLS"
"200","Staten Island","HOLLISWOOD","01 ONE FAMILY HOMES",45,274999,792459,740000,1625000,2005,"HOLLISWOOD"
"201","Staten Island","HOLLISWOOD","02 TWO FAMILY HOMES",7,485000,690943,750000,947600,2005,"HOLLISWOOD"
"202","Staten Island","HOLLISWOOD","03 THREE FAMILY HOMES",4,6e+05,770000,777500,925000,2005,"HOLLISWOOD"
"203","Staten Island","HOWARD BEACH","01 ONE FAMILY HOMES",128,161000,581975,632500,1175000,2005,"HOWARD BEACH"
"204","Staten Island","HOWARD BEACH","02 TWO FAMILY HOMES",64,185000,622416,647714,885000,2005,"HOWARD BEACH"
"205","Staten Island","HOWARD BEACH","03 THREE FAMILY HOMES",5,487500,644500,650000,755000,2005,"HOWARD BEACH"
"206","Staten Island","JACKSON HEIGHTS","01 ONE FAMILY HOMES",160,203000,551195,548500,850000,2005,"JACKSON HEIGHTS"
"207","Staten Island","JACKSON HEIGHTS","02 TWO FAMILY HOMES",217,165000,654469,650000,975000,2005,"JACKSON HEIGHTS"
"208","Staten Island","JACKSON HEIGHTS","03 THREE FAMILY HOMES",73,208333,767736,785000,1060000,2005,"JACKSON HEIGHTS"
